actication:relu, hidden64, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.01, Precision: 0.0641, Recall: 0.7153, F1-measure: 0.1173, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.1, Precision: 0.1605, Recall: 0.6591, F1-measure: 0.2563, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.2, Precision: 0.1631, Recall: 0.6586, F1-measure: 0.2597, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.3, Precision: 0.1655, Recall: 0.6572, F1-measure: 0.2628, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.4, Precision: 0.1007, Recall: 0.2983, F1-measure: 0.1495, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.5, Precision: 0.1010, Recall: 0.2983, F1-measure: 0.1498, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.6, Precision: 0.1167, Recall: 0.2974, F1-measure: 0.1654, RANK:10.355620372447834, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.094906888041283, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.094906888041283, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.7, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:10.355620372447834, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:11.094906888041283, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.8, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:10.355620372447834, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.01, Precision: 0.0656, Recall: 0.7130, F1-measure: 0.1199, RANK:11.094906888041283, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.9, Precision: 0.3040, Recall: 0.2930, F1-measure: 0.2967, RANK:10.355620372447834, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.1, Precision: 0.1516, Recall: 0.6614, F1-measure: 0.2451, RANK:11.094906888041283, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.2, Precision: 0.1563, Recall: 0.5832, F1-measure: 0.2438, RANK:11.094906888041283, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.3, Precision: 0.1302, Recall: 0.4542, F1-measure: 0.1995, RANK:11.094906888041283, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.4, Precision: 0.1054, Recall: 0.3221, F1-measure: 0.1571, RANK:11.094906888041283, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.5, Precision: 0.0999, Recall: 0.2985, F1-measure: 0.1485, RANK:11.094906888041283, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.6, Precision: 0.1068, Recall: 0.2976, F1-measure: 0.1557, RANK:11.094906888041283, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.7, Precision: 0.1392, Recall: 0.2967, F1-measure: 0.1869, RANK:11.094906888041283, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.8, Precision: 0.1600, Recall: 0.2967, F1-measure: 0.2049, RANK:11.094906888041283, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.9, Precision: 0.3029, Recall: 0.2919, F1-measure: 0.2956, RANK:11.094906888041283, accu:0.3022212250392641

actication:logistic, hidden64, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.199012788871439, accu:0.3022212250392641

actication:logistic, hidden64, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.199012788871439, accu:0.3022212250392641

actication:logistic, hidden64, alpha0.001, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:11.199012788871439, accu:0.3022212250392641

actication:logistic, hidden64, alpha0.001, Val: 0.01, Precision: 0.0701, Recall: 0.7133, F1-measure: 0.1272, RANK:11.199012788871439, accu:0.3022212250392641

actication:logistic, hidden64, alpha0.001, Val: 0.1, Precision: 0.1531, Recall: 0.6607, F1-measure: 0.2470, RANK:11.199012788871439, accu:0.3022212250392641

actication:logistic, hidden64, alpha0.001, Val: 0.2, Precision: 0.1534, Recall: 0.6607, F1-measure: 0.2474, RANK:11.199012788871439, accu:0.3022212250392641

actication:logistic, hidden64, alpha0.001, Val: 0.3, Precision: 0.1549, Recall: 0.6607, F1-measure: 0.2494, RANK:11.199012788871439, accu:0.3022212250392641

actication:logistic, hidden64, alpha0.001, Val: 0.4, Precision: 0.0975, Recall: 0.3004, F1-measure: 0.1461, RANK:11.199012788871439, accu:0.3022212250392641

actication:logistic, hidden64, alpha0.001, Val: 0.5, Precision: 0.0997, Recall: 0.2985, F1-measure: 0.1484, RANK:11.199012788871439, accu:0.3022212250392641

actication:logistic, hidden64, alpha0.001, Val: 0.6, Precision: 0.1485, Recall: 0.2967, F1-measure: 0.1961, RANK:11.199012788871439, accu:0.3022212250392641

actication:logistic, hidden64, alpha0.001, Val: 0.7, Precision: 0.1538, Recall: 0.2967, F1-measure: 0.2014, RANK:11.199012788871439, accu:0.3022212250392641

actication:logistic, hidden64, alpha0.001, Val: 0.8, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:11.199012788871439, accu:0.3022212250392641

actication:logistic, hidden64, alpha0.001, Val: 0.9, Precision: 0.3040, Recall: 0.2930, F1-measure: 0.2967, RANK:11.199012788871439, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.01, Precision: 0.0664, Recall: 0.7109, F1-measure: 0.1212, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.1, Precision: 0.1662, Recall: 0.6577, F1-measure: 0.2639, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.2, Precision: 0.1671, Recall: 0.6577, F1-measure: 0.2650, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.3, Precision: 0.1670, Recall: 0.6563, F1-measure: 0.2648, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.4, Precision: 0.1016, Recall: 0.3028, F1-measure: 0.1511, RANK:11.07942562261611, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.074938299304465, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.5, Precision: 0.1008, Recall: 0.2983, F1-measure: 0.1496, RANK:11.07942562261611, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.074938299304465, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.6, Precision: 0.1190, Recall: 0.2974, F1-measure: 0.1675, RANK:11.07942562261611, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.001, Precision: 0.0504, Recall: 0.7282, F1-measure: 0.0940, RANK:11.074938299304465, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.7, Precision: 0.1528, Recall: 0.2967, F1-measure: 0.2004, RANK:11.07942562261611, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.01, Precision: 0.0656, Recall: 0.7134, F1-measure: 0.1198, RANK:11.074938299304465, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.8, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:11.07942562261611, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.1, Precision: 0.1560, Recall: 0.6590, F1-measure: 0.2507, RANK:11.074938299304465, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.9, Precision: 0.3040, Recall: 0.2930, F1-measure: 0.2967, RANK:11.07942562261611, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.2, Precision: 0.1586, Recall: 0.5902, F1-measure: 0.2473, RANK:11.074938299304465, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.3, Precision: 0.1372, Recall: 0.4844, F1-measure: 0.2113, RANK:11.074938299304465, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.4, Precision: 0.1022, Recall: 0.3111, F1-measure: 0.1525, RANK:11.074938299304465, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.5, Precision: 0.1008, Recall: 0.2983, F1-measure: 0.1495, RANK:11.074938299304465, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.6, Precision: 0.1099, Recall: 0.2974, F1-measure: 0.1587, RANK:11.074938299304465, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.7, Precision: 0.1276, Recall: 0.2967, F1-measure: 0.1759, RANK:11.074938299304465, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.8, Precision: 0.1586, Recall: 0.2967, F1-measure: 0.2041, RANK:11.074938299304465, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.9, Precision: 0.3040, Recall: 0.2930, F1-measure: 0.2967, RANK:11.074938299304465, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.258694188916312, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.258694188916312, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:11.258694188916312, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:10.592102310971505, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:10.592102310971505, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.01, Precision: 0.0659, Recall: 0.7158, F1-measure: 0.1203, RANK:11.258694188916312, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.1, Precision: 0.1493, Recall: 0.6620, F1-measure: 0.2422, RANK:11.258694188916312, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:10.592102310971505, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.01, Precision: 0.0661, Recall: 0.7109, F1-measure: 0.1206, RANK:10.592102310971505, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.2, Precision: 0.1506, Recall: 0.6620, F1-measure: 0.2438, RANK:11.258694188916312, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.1, Precision: 0.1319, Recall: 0.6592, F1-measure: 0.2186, RANK:10.592102310971505, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.3, Precision: 0.1509, Recall: 0.6611, F1-measure: 0.2442, RANK:11.258694188916312, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.2, Precision: 0.1624, Recall: 0.5927, F1-measure: 0.2524, RANK:10.592102310971505, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.4, Precision: 0.0927, Recall: 0.3018, F1-measure: 0.1406, RANK:11.258694188916312, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.3, Precision: 0.1444, Recall: 0.4972, F1-measure: 0.2213, RANK:10.592102310971505, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.5, Precision: 0.0931, Recall: 0.3013, F1-measure: 0.1410, RANK:11.258694188916312, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.4, Precision: 0.1020, Recall: 0.3046, F1-measure: 0.1516, RANK:10.592102310971505, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.6, Precision: 0.1351, Recall: 0.2998, F1-measure: 0.1838, RANK:11.258694188916312, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.5, Precision: 0.1006, Recall: 0.2983, F1-measure: 0.1494, RANK:10.592102310971505, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.7, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:11.258694188916312, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.6, Precision: 0.1082, Recall: 0.2983, F1-measure: 0.1574, RANK:10.592102310971505, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.8, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:11.258694188916312, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.7, Precision: 0.1428, Recall: 0.2974, F1-measure: 0.1907, RANK:10.592102310971505, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.9, Precision: 0.3040, Recall: 0.2930, F1-measure: 0.2967, RANK:11.258694188916312, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.8, Precision: 0.1990, Recall: 0.2944, F1-measure: 0.2296, RANK:10.592102310971505, accu:0.3022212250392641

actication:relu, hidden256, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.039488445142473, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.9, Precision: 0.3038, Recall: 0.2928, F1-measure: 0.2965, RANK:10.592102310971505, accu:0.3022212250392641

actication:relu, hidden256, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.039488445142473, accu:0.3022212250392641

actication:relu, hidden256, alpha0.001, Val: 0.001, Precision: 0.0492, Recall: 0.7291, F1-measure: 0.0919, RANK:11.039488445142473, accu:0.3022212250392641

actication:relu, hidden256, alpha0.001, Val: 0.01, Precision: 0.0613, Recall: 0.7198, F1-measure: 0.1126, RANK:11.039488445142473, accu:0.3022212250392641

actication:relu, hidden256, alpha0.001, Val: 0.1, Precision: 0.1206, Recall: 0.6636, F1-measure: 0.2027, RANK:11.039488445142473, accu:0.3022212250392641

actication:relu, hidden256, alpha0.001, Val: 0.2, Precision: 0.1375, Recall: 0.6636, F1-measure: 0.2268, RANK:11.039488445142473, accu:0.3022212250392641

actication:relu, hidden256, alpha0.001, Val: 0.3, Precision: 0.1375, Recall: 0.6636, F1-measure: 0.2268, RANK:11.039488445142473, accu:0.3022212250392641

actication:relu, hidden256, alpha0.001, Val: 0.4, Precision: 0.0791, Recall: 0.3042, F1-measure: 0.1249, RANK:11.039488445142473, accu:0.3022212250392641

actication:relu, hidden256, alpha0.001, Val: 0.5, Precision: 0.0791, Recall: 0.3042, F1-measure: 0.1249, RANK:11.039488445142473, accu:0.3022212250392641

actication:relu, hidden256, alpha0.001, Val: 0.6, Precision: 0.1046, Recall: 0.3027, F1-measure: 0.1547, RANK:11.039488445142473, accu:0.3022212250392641

actication:relu, hidden256, alpha0.001, Val: 0.7, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:11.039488445142473, accu:0.3022212250392641

actication:relu, hidden256, alpha0.001, Val: 0.8, Precision: 0.1810, Recall: 0.2944, F1-measure: 0.2183, RANK:11.039488445142473, accu:0.3022212250392641

actication:relu, hidden256, alpha0.001, Val: 0.9, Precision: 0.2782, Recall: 0.2686, F1-measure: 0.2718, RANK:11.039488445142473, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.35203051379852, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.35203051379852, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:11.35203051379852, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.01, Precision: 0.0676, Recall: 0.7162, F1-measure: 0.1231, RANK:11.35203051379852, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.1, Precision: 0.1375, Recall: 0.6636, F1-measure: 0.2268, RANK:11.35203051379852, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.2, Precision: 0.1375, Recall: 0.6636, F1-measure: 0.2268, RANK:11.35203051379852, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.3, Precision: 0.1375, Recall: 0.6636, F1-measure: 0.2268, RANK:11.35203051379852, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.4, Precision: 0.0791, Recall: 0.3042, F1-measure: 0.1249, RANK:11.35203051379852, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.5, Precision: 0.0791, Recall: 0.3042, F1-measure: 0.1249, RANK:11.35203051379852, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.6, Precision: 0.1046, Recall: 0.3027, F1-measure: 0.1547, RANK:11.35203051379852, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.7, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:11.35203051379852, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.8, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:11.35203051379852, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.9, Precision: 0.3040, Recall: 0.2930, F1-measure: 0.2967, RANK:11.35203051379852, accu:0.3022212250392641

