, exclusive , 0.01 , 100.0,  21.87727170742652
, exclusive , 0.001 , 10.0,  22.000673098496748
, exclusive , 1e-20 , 10.0,  24.454790217635182
, exclusive , 1e-10 , 0.1,  25.08750280457707
, exclusive , 1e-20 , 100.0,  28.317253758133273
, exclusive , 0.001 , 100.0,  21.981153242091093
, exclusive , 1e-10 , 10.0,  25.274848552838233
, exclusive , 1e-05 , 0.1,  25.25846982275073
, exclusive , 1e-10 , 1.0,  27.833744671303567
, exclusive , 0.01 , 1.0,  21.51626654700471
, exclusive , 1e-20 , 0.1,  24.498092887592552
, exclusive , 1e-20 , 1.0,  29.07942562261611
, exclusive , 1e-05 , 10.0,  24.76755665245681
, exclusive , 1e-10 , 100.0,  28.61588512452322
, exclusive , 0.01 , 10.0,  21.897913394660087
, exclusive , 1e-05 , 1.0,  26.391070226609827
, exclusive , 0.001 , 0.1,  25.25959165357864
, exclusive , 0.001 , 1.0,  21.15571011891407
, exclusive , 1e-05 , 100.0,  29.55822301996859
, exclusive , 0.01 , 0.1,  19.5353376710792
, inclusive , 0.01 , 100.0,  21.87727170742652
, inclusive , 1e-10 , 0.1,  25.08750280457707
, inclusive , 1e-10 , 1.0,  27.833744671303567
, inclusive , 0.001 , 100.0,  21.981153242091093
, inclusive , 1e-20 , 0.1,  24.498092887592552
, inclusive , 1e-10 , 10.0,  25.274848552838233
, inclusive , 1e-10 , 100.0,  28.61588512452322
, inclusive , 1e-20 , 1.0,  29.07942562261611
, inclusive , 0.001 , 10.0,  22.000673098496748
, inclusive , 0.001 , 1.0,  21.15571011891407
, inclusive , 0.01 , 1.0,  21.51626654700471
, inclusive , 0.01 , 10.0,  21.897913394660087
, inclusive , 0.01 , 0.1,  19.5353376710792
, inclusive , 1e-05 , 100.0,  29.55822301996859
, inclusive , 1e-05 , 0.1,  25.25846982275073
, inclusive , 1e-20 , 10.0,  24.454790217635182
, inclusive , 0.001 , 0.1,  25.25959165357864
, inclusive , 1e-20 , 100.0,  28.317253758133273
, inclusive , 1e-05 , 1.0,  26.391070226609827
, inclusive , 1e-05 , 10.0,  24.76755665245681
, less_inclusive , 0.001 , 100.0,  21.981153242091093
, less_inclusive , 0.001 , 10.0,  22.000673098496748
, less_inclusive , 1e-10 , 1.0,  27.833744671303567
, less_inclusive , 0.001 , 1.0,  21.15571011891407
, less_inclusive , 0.01 , 100.0,  21.87727170742652
, less_inclusive , 1e-10 , 100.0,  28.61588512452322
, less_inclusive , 1e-20 , 1.0,  29.07942562261611
, less_inclusive , 1e-10 , 10.0,  25.274848552838233
, siblings , DecisionTreeClassifier   19.930222122503928
, exclusive_siblings , DecisionTreeClassifier   19.376710792012563
, exclusive , DecisionTreeClassifier   16.144267444469374
, inclusive , DecisionTreeClassifier   24.06641238501234
, less_inclusive , DecisionTreeClassifier   17.202378281355173
, less_inclusive , 1e-10 , 0.1,  25.08750280457707
, exclusive_siblings , MLPClassifier   11.058559569216962
, inclusive , GaussianNB   16.502804577069778
, exclusive_siblings , GaussianNB   16.502804577069778
, exclusive , GaussianNB   16.502804577069778
, inclusive , MLPClassifier   11.058559569216962
, less_inclusive , GaussianNB   16.502804577069778
, siblings , GaussianNB   16.502804577069778
, less_inclusive , MLPClassifier   11.058559569216962
, siblings , MLPClassifier   11.058559569216962
, exclusive , MLPClassifier   11.058559569216962
, less_inclusive , 1e-20 , 0.1,  24.498092887592552
, less_inclusive , 1e-20 , 10.0,  24.454790217635182
, less_inclusive , 0.01 , 0.1,  19.5353376710792
, less_inclusive , 0.01 , 10.0,  21.897913394660087
, less_inclusive , 0.01 , 1.0,  21.51626654700471
, exclusive , RandomForestClassifier   14.624635404980928
, inclusive , RandomForestClassifier   14.624635404980928
, exclusive_siblings , RandomForestClassifier   14.624635404980928
, siblings , RandomForestClassifier   14.624635404980928
, less_inclusive , RandomForestClassifier   14.624635404980928
, less_inclusive , 0.001 , 0.1,  25.25959165357864
, less_inclusive , 1e-20 , 100.0,  28.317253758133273
, less_inclusive , 1e-05 , 100.0,  29.55822301996859
, less_inclusive , 1e-05 , 1.0,  26.391070226609827
, less_inclusive , 1e-05 , 0.1,  25.25846982275073
, less_inclusive , 1e-05 , 10.0,  24.76755665245681
, siblings , 0.001 , 100.0,  21.981153242091093
, siblings , 0.001 , 1.0,  21.15571011891407
, siblings , 0.001 , 10.0,  22.000673098496748
, siblings , 1e-10 , 1.0,  27.833744671303567
, siblings , 1e-10 , 100.0,  28.61588512452322
, siblings , 0.01 , 10.0,  21.897913394660087
, siblings , 1e-20 , 0.1,  24.498092887592552
, siblings , 1e-10 , 10.0,  25.274848552838233
, siblings , 1e-10 , 0.1,  25.08750280457707
, siblings , 1e-20 , 10.0,  24.454790217635182
, siblings , 1e-20 , 1.0,  29.07942562261611
, siblings , 0.01 , 1.0,  21.51626654700471
, siblings , 0.01 , 100.0,  21.87727170742652
, siblings , 0.001 , 0.1,  25.25959165357864
, siblings , 0.01 , 0.1,  19.5353376710792
, siblings , 1e-05 , 100.0,  29.55822301996859
, siblings , 1e-05 , 1.0,  26.391070226609827
, siblings , 1e-20 , 100.0,  28.317253758133273
, siblings , 1e-05 , 10.0,  24.76755665245681
, siblings , 1e-05 , 0.1,  25.25846982275073
, exclusive_siblings , 0.001 , 100.0,  21.981153242091093
, exclusive_siblings , 0.001 , 1.0,  21.15571011891407
, exclusive_siblings , 0.001 , 10.0,  22.000673098496748
, exclusive_siblings , 0.01 , 10.0,  21.897913394660087
, exclusive_siblings , 1e-10 , 1.0,  27.833744671303567
, exclusive_siblings , 1e-10 , 100.0,  28.61588512452322
, exclusive_siblings , 1e-20 , 10.0,  24.454790217635182
, exclusive_siblings , 1e-10 , 0.1,  25.08750280457707
, exclusive_siblings , 0.01 , 100.0,  21.87727170742652
, exclusive_siblings , 1e-10 , 10.0,  25.274848552838233
, exclusive_siblings , 0.001 , 0.1,  25.25959165357864
, exclusive_siblings , 1e-20 , 1.0,  29.07942562261611
, exclusive_siblings , 1e-20 , 0.1,  24.498092887592552
, exclusive_siblings , 0.01 , 1.0,  21.51626654700471
, exclusive_siblings , 0.01 , 0.1,  19.5353376710792
, exclusive_siblings , 1e-05 , 1.0,  26.391070226609827
, exclusive_siblings , 1e-05 , 100.0,  29.55822301996859
, exclusive_siblings , 1e-20 , 100.0,  28.317253758133273
, exclusive_siblings , 1e-05 , 0.1,  25.25846982275073
, exclusive_siblings , 1e-05 , 10.0,  24.76755665245681
