Seed,Itration,Accuracy
9, 0 ,0.46687009590235395
9, 1 ,0.46904969485614645
9, 2 ,0.4702121476315025
9, 3 ,0.47006684103458296
9, 4 ,0.46556233653007845
9, 5 ,0.46410927056088347
9, 6 ,0.4670154024992735
9, 7 ,0.4664341761115955
9, 8 ,0.4638186573670445
9, 9 ,0.46396396396396394
9, 10 ,0.46396396396396394
9, 11 ,0.46396396396396394
9, 12 ,0.46396396396396394
9, 13 ,0.46396396396396394
9, 14 ,0.46396396396396394
9, 15 ,0.46396396396396394
9, 16 ,0.46396396396396394
9, 17 ,0.46396396396396394
9, 18 ,0.46396396396396394
9, 19 ,0.46396396396396394
9, 20 ,0.46396396396396394
896783, 0 ,0.4760614272809395
896783, 1 ,0.47666365552544415
896783, 2 ,0.4736525143029208
896783, 3 ,0.4781692261367058
896783, 4 ,0.47922312556458896
896783, 5 ,0.4760614272809395
896783, 6 ,0.47696476964769646
896783, 7 ,0.47214694369165916
896783, 8 ,0.4736525143029208
896783, 9 ,0.47440529960855166
896783, 10 ,0.4742547425474255
896783, 11 ,0.4742547425474255
896783, 12 ,0.4742547425474255
896783, 13 ,0.4742547425474255
896783, 14 ,0.4742547425474255
896783, 15 ,0.4742547425474255
896783, 16 ,0.4742547425474255
896783, 17 ,0.4742547425474255
896783, 18 ,0.4742547425474255
896783, 19 ,0.4742547425474255
896783, 20 ,0.4742547425474255
12, 0 ,0.4860876897133221
12, 1 ,0.48903878583473864
12, 2 ,0.4939572793704328
12, 3 ,0.4924114671163575
12, 4 ,0.48889825744800447
12, 5 ,0.4924114671163575
12, 6 ,0.49480044969083753
12, 7 ,0.4931141090500281
12, 8 ,0.491849353569421
12, 9 ,0.491849353569421
12, 10 ,0.491849353569421
12, 11 ,0.491849353569421
12, 12 ,0.4917088251826869
12, 13 ,0.48974142776840923
12, 14 ,0.48974142776840923
12, 15 ,0.48974142776840923
12, 16 ,0.48974142776840923
12, 17 ,0.48974142776840923
12, 18 ,0.48974142776840923
12, 19 ,0.48974142776840923
12, 20 ,0.48974142776840923
45234, 0 ,0.4756586483390607
45234, 1 ,0.4778064146620848
45234, 2 ,0.47995418098510884
45234, 3 ,0.47923825887743415
45234, 4 ,0.47394043528064145
45234, 5 ,0.4736540664375716
45234, 6 ,0.4702176403207331
45234, 7 ,0.4697880870561283
45234, 8 ,0.46878579610538373
45234, 9 ,0.46878579610538373
45234, 10 ,0.46764032073310424
45234, 11 ,0.46764032073310424
45234, 12 ,0.4679266895761741
45234, 13 ,0.4679266895761741
45234, 14 ,0.4679266895761741
45234, 15 ,0.4679266895761741
45234, 16 ,0.4679266895761741
45234, 17 ,0.4679266895761741
45234, 18 ,0.4679266895761741
45234, 19 ,0.4679266895761741
45234, 20 ,0.4677835051546392
15, 0 ,0.4706130483689539
15, 1 ,0.47075365579302586
15, 2 ,0.47904949381327333
15, 3 ,0.4876265466816648
15, 4 ,0.4818616422947132
15, 5 ,0.4755343082114736
15, 6 ,0.47623734533183354
15, 7 ,0.4730033745781777
15, 8 ,0.4723003374578178
15, 9 ,0.47244094488188976
15, 10 ,0.47258155230596177
15, 11 ,0.4708942632170979
15, 12 ,0.47117547806524185
15, 13 ,0.4708942632170979
15, 14 ,0.4708942632170979
15, 15 ,0.4708942632170979
15, 16 ,0.4708942632170979
15, 17 ,0.4708942632170979
15, 18 ,0.4708942632170979
15, 19 ,0.4708942632170979
15, 20 ,0.4708942632170979